category_slug,name,slug,sku,description,price,original_value,stock_quantity,cbd_percentage,thc_max,weight_grams,is_available,is_active,is_featured,is_subscribable,image_url
nouveautes,Manda Cali - 1g,manda-cali-1g,TV-manda-cali-1g,"La Manda Cali offre une douceur lumineuse portée par un parfum d’agrumes ensoleillés. Une fleur CBD cali harmonieuse, idéale pour une détente légère et agréable.",5,,100,,0.3,1,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/03/fleur-cbd-manda-cali.webp
nouveautes,Manda Cali - 5g,manda-cali-5g,TV-manda-cali-5g,"La Manda Cali offre une douceur lumineuse portée par un parfum d’agrumes ensoleillés. Une fleur CBD cali harmonieuse, idéale pour une détente légère et agréable.",25,,100,,0.3,5,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/03/fleur-cbd-manda-cali.webp
nouveautes,Manda Cali - 10g,manda-cali-10g,TV-manda-cali-10g,"La Manda Cali offre une douceur lumineuse portée par un parfum d’agrumes ensoleillés. Une fleur CBD cali harmonieuse, idéale pour une détente légère et agréable.",50,,100,,0.3,10,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/03/fleur-cbd-manda-cali.webp
nouveautes,Manda Cali - 20g,manda-cali-20g,TV-manda-cali-20g,"La Manda Cali offre une douceur lumineuse portée par un parfum d’agrumes ensoleillés. Une fleur CBD cali harmonieuse, idéale pour une détente légère et agréable.",90,,100,,0.3,20,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/03/fleur-cbd-manda-cali.webp
nouveautes,Berry Cream - 1g,berry-cream-1g,TV-berry-cream-1g,,3,,100,,0.3,1,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/01/fleur-cbd-berry-cream.webp
nouveautes,Berry Cream - 5g,berry-cream-5g,TV-berry-cream-5g,,15,,100,,0.3,5,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/01/fleur-cbd-berry-cream.webp
nouveautes,Berry Cream - 10g,berry-cream-10g,TV-berry-cream-10g,,30,,100,,0.3,10,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/01/fleur-cbd-berry-cream.webp
nouveautes,Berry Cream - 30g,berry-cream-30g,TV-berry-cream-30g,,72,,100,,0.3,30,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/01/fleur-cbd-berry-cream.webp
nouveautes,Berry Cream - 100g,berry-cream-100g,TV-berry-cream-100g,,220,,100,,0.3,100,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2026/01/fleur-cbd-berry-cream.webp
nouveautes,Pink Panther - 1g,pink-panther-1g,TV-pink-panther-1g,,3,,100,,0.3,1,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2025/04/fleur-n10-pink-panther.webp
nouveautes,Pink Panther - 5g,pink-panther-5g,TV-pink-panther-5g,,15,,100,,0.3,5,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2025/04/fleur-n10-pink-panther.webp
nouveautes,Pink Panther - 10g,pink-panther-10g,TV-pink-panther-10g,,30,,100,,0.3,10,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2025/04/fleur-n10-pink-panther.webp
nouveautes,Pink Panther - 30g,pink-panther-30g,TV-pink-panther-30g,,72,,100,,0.3,30,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2025/04/fleur-n10-pink-panther.webp
nouveautes,Pink Panther - 100g,pink-panther-100g,TV-pink-panther-100g,,220,,100,,0.3,100,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2025/04/fleur-n10-pink-panther.webp
nouveautes,Tropical - 1g,tropical-1g,TV-tropical-1g,,3,,100,,0.3,1,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2023/12/fleur-cbd-tropical.webp
nouveautes,Tropical - 5g,tropical-5g,TV-tropical-5g,,15,,100,,0.3,5,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2023/12/fleur-cbd-tropical.webp
nouveautes,Tropical - 10g,tropical-10g,TV-tropical-10g,,30,,100,,0.3,10,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2023/12/fleur-cbd-tropical.webp
nouveautes,Tropical - 30g,tropical-30g,TV-tropical-30g,,72,,100,,0.3,30,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2023/12/fleur-cbd-tropical.webp
nouveautes,Tropical - 100g,tropical-100g,TV-tropical-100g,,220,,100,,0.3,100,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2023/12/fleur-cbd-tropical.webp
nouveautes,Royal 30% - Résine N10 5g,royal-30-resine-n10-5g,TV-royal-30-resine-n10-5g,"La Royal 30% dévoile une puissance noble aux effets profonds et marqués. Une résine N10 intense, idéale pour une détente immersive et durable.",25,,100,30,0.3,5,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2024/05/resine-cbno-420-le-red.webp
nouveautes,Royal 30% - Résine N10 1g,royal-30-resine-n10-1g,TV-royal-30-resine-n10-1g,"La Royal 30% dévoile une puissance noble aux effets profonds et marqués. Une résine N10 intense, idéale pour une détente immersive et durable.",5,,100,30,0.3,1,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2024/05/resine-cbno-420-le-red.webp
nouveautes,Royal 30% - Résine N10 10g,royal-30-resine-n10-10g,TV-royal-30-resine-n10-10g,"La Royal 30% dévoile une puissance noble aux effets profonds et marqués. Une résine N10 intense, idéale pour une détente immersive et durable.",50,,100,30,0.3,10,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2024/05/resine-cbno-420-le-red.webp
nouveautes,Royal 30% - Résine N10 20g,royal-30-resine-n10-20g,TV-royal-30-resine-n10-20g,"La Royal 30% dévoile une puissance noble aux effets profonds et marqués. Une résine N10 intense, idéale pour une détente immersive et durable.",90,,100,30,0.3,20,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2024/05/resine-cbno-420-le-red.webp
nouveautes,Royal 30% - Résine N10 100g,royal-30-resine-n10-100g,TV-royal-30-resine-n10-100g,"La Royal 30% dévoile une puissance noble aux effets profonds et marqués. Une résine N10 intense, idéale pour une détente immersive et durable.",420,,100,30,0.3,100,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2024/05/resine-cbno-420-le-red.webp
nouveautes,Tangie 30% - Fleur N10 1g,tangie-30-fleur-n10-1g,TV-tangie-30-fleur-n10-1g,"La Tangie 30% révèle une puissance vive sublimée par un parfum d’agrumes. Une fleur N10 intense, idéale pour une détente profonde portée par des notes fruitées.",5,,100,30,0.3,1,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2025/07/fleur-thv-n10-tangie.webp
nouveautes,Tangie 30% - Fleur N10 5g,tangie-30-fleur-n10-5g,TV-tangie-30-fleur-n10-5g,"La Tangie 30% révèle une puissance vive sublimée par un parfum d’agrumes. Une fleur N10 intense, idéale pour une détente profonde portée par des notes fruitées.",25,,100,30,0.3,5,true,true,false,false,https://toucheverte.fr/wp-content/uploads/2025/07/fleur-thv-n10-tangie.webp
